MinTemp,MaxTemp,Precipitation,ReferenceET,Date,year
15.02,36.74,0.0,7.92,2018-06-14,2018
15.94,35.24,0.0,7.38,2018-06-15,2018
17.95,34.42,0.0,6.74,2018-06-16,2018
16.25,32.37,0.0,6.27,2018-06-17,2018
14.78,24.47,0.0,3.92,2018-06-18,2018
15.97,26.63,7.62,4.47,2018-06-19,2018
11.19,25.29,0.0,5.58,2018-06-20,2018
10.96,26.08,0.0,6.02,2018-06-21,2018
9.73,24.23,2.29,4.11,2018-06-22,2018
10.24,30.59,1.52,7.01,2018-06-23,2018
13.41,24.23,14.48,3.44,2018-06-24,2018
12.18,25.32,0.25,4.23,2018-06-25,2018
10.1,30.32,0.0,7.17,2018-06-26,2018
16.83,33.19,0.0,7.32,2018-06-27,2018
21.19,38.51,0.0,7.91,2018-06-28,2018
15.8,33.6,0.0,7.0,2018-06-29,2018
12.32,26.26,0.0,4.72,2018-06-30,2018
7.82,29.23,0.0,7.1,2018-07-01,2018
12.12,34.28,0.0,7.48,2018-07-02,2018
13.86,35.0,0.51,7.79,2018-07-03,2018
18.94,34.69,0.0,7.21,2018-07-04,2018
15.9,31.62,0.0,6.53,2018-07-05,2018
15.49,30.66,0.0,5.94,2018-07-06,2018
17.2,34.01,0.0,7.41,2018-07-07,2018
15.49,35.31,0.0,7.89,2018-07-08,2018
13.62,35.45,0.0,8.06,2018-07-09,2018
12.56,35.38,0.0,8.18,2018-07-10,2018
14.74,36.35,0.0,8.14,2018-07-11,2018
17.06,35.2,26.41,6.79,2018-07-12,2018
18.53,30.22,0.0,6.19,2018-07-13,2018
17.92,31.58,0.0,6.26,2018-07-14,2018
15.67,27.79,0.25,5.32,2018-07-15,2018
15.84,31.68,18.54,6.15,2018-07-16,2018
15.9,28.54,19.56,5.64,2018-07-17,2018
16.21,30.97,1.02,6.06,2018-07-18,2018
17.34,34.45,0.0,7.38,2018-07-19,2018
19.59,31.65,0.0,6.2,2018-07-20,2018
19.21,31.92,0.25,5.65,2018-07-21,2018
17.47,32.82,26.92,6.77,2018-07-22,2018
17.0,26.63,0.25,4.41,2018-07-23,2018
15.43,29.94,0.0,6.05,2018-07-24,2018
17.51,28.48,0.25,5.34,2018-07-25,2018
14.44,27.45,0.25,5.21,2018-07-26,2018
14.16,23.62,4.06,3.23,2018-07-27,2018
14.33,28.27,7.62,5.61,2018-07-28,2018
13.14,23.58,0.25,3.27,2018-07-29,2018
10.61,23.28,0.0,4.9,2018-07-30,2018
7.44,27.31,0.0,6.29,2018-07-31,2018
11.65,37.01,1.01,7.66,2018-08-01,2018
13.89,33.36,0.0,7.17,2018-08-02,2018
15.75,31.93,6.6,5.68,2018-08-03,2018
13.03,33.56,0.0,6.92,2018-08-04,2018
15.95,29.34,0.76,4.69,2018-08-05,2018
15.52,25.33,0.25,3.62,2018-08-06,2018
14.03,29.92,0.0,5.78,2018-08-07,2018
15.04,30.41,0.25,6.17,2018-08-08,2018
12.89,33.68,0.0,7.21,2018-08-09,2018
13.8,32.03,5.08,6.68,2018-08-10,2018
13.22,32.12,0.0,6.63,2018-08-11,2018
10.93,30.11,0.0,6.15,2018-08-12,2018
12.74,29.92,0.0,6.15,2018-08-13,2018
13.75,27.48,0.0,5.02,2018-08-14,2018
11.31,32.31,0.0,6.8,2018-08-15,2018
14.03,28.2,0.0,5.17,2018-08-16,2018
12.31,31.74,0.0,6.35,2018-08-17,2018
12.03,31.06,1.52,5.72,2018-08-18,2018
12.98,22.83,0.76,3.32,2018-08-19,2018
7.4,22.97,0.0,4.77,2018-08-20,2018
7.36,20.15,0.76,3.05,2018-08-21,2018
11.55,20.05,0.0,2.15,2018-08-22,2018
16.61,31.74,0.51,5.7,2018-08-23,2018
11.55,33.13,0.0,6.78,2018-08-24,2018
11.74,35.47,0.51,6.58,2018-08-25,2018
13.7,33.85,0.0,6.6,2018-08-26,2018
11.55,34.26,0.0,7.04,2018-08-27,2018
9.74,22.6,0.0,3.94,2018-08-28,2018
7.55,26.28,0.0,5.34,2018-08-29,2018
10.83,32.98,0.0,6.5,2018-08-30,2018
15.37,33.7,0.0,5.76,2018-08-31,2018
13.65,29.53,0.0,4.67,2018-09-01,2018
13.8,28.87,0.0,4.95,2018-09-02,2018
14.89,23.79,1.52,2.6,2018-09-03,2018
16.66,26.86,0.0,3.28,2018-09-04,2018
13.89,25.33,0.0,3.7,2018-09-05,2018
12.08,23.26,0.0,3.1,2018-09-06,2018
11.79,23.73,0.51,3.36,2018-09-07,2018
12.7,25.13,0.0,4.04,2018-09-08,2018
14.61,27.62,0.0,4.51,2018-09-09,2018
13.08,30.87,0.0,5.39,2018-09-10,2018
13.17,35.61,0.0,6.79,2018-09-11,2018
12.31,32.84,0.0,6.11,2018-09-12,2018
11.93,33.78,0.0,6.42,2018-09-13,2018
10.21,33.37,0.0,6.45,2018-09-14,2018
13.46,34.72,0.0,6.43,2018-09-15,2018
14.85,35.5,0.0,6.41,2018-09-16,2018
10.31,35.45,0.0,6.85,2018-09-17,2018
13.89,33.22,0.0,5.74,2018-09-18,2018
12.65,31.69,0.0,5.44,2018-09-19,2018
11.03,26.67,1.02,3.69,2018-09-20,2018
6.21,23.13,0.0,4.23,2018-09-21,2018
6.07,31.35,0.0,6.09,2018-09-22,2018
3.78,33.75,0.0,6.91,2018-09-23,2018
9.59,23.51,0.0,3.45,2018-09-24,2018
2.72,18.43,0.25,3.47,2018-09-25,2018
1.48,23.88,0.0,4.63,2018-09-26,2018
1.77,24.95,0.0,4.76,2018-09-27,2018
4.87,9.26,0.0,1.04,2018-09-28,2018
4.97,22.64,0.0,3.9,2018-09-29,2018
6.11,9.26,0.0,0.76,2018-09-30,2018
6.53,17.86,0.0,2.49,2018-10-01,2018
6.82,25.79,0.0,4.03,2018-10-02,2018
7.16,32.97,0.0,6.08,2018-10-03,2018
-0.38,7.45,10.15,1.29,2018-10-04,2018
-0.76,21.3,0.0,4.01,2018-10-05,2018
0.29,14.65,0.0,2.66,2018-10-06,2018
4.58,8.3,9.63,0.65,2018-10-07,2018
2.63,5.63,2.28,0.66,2018-10-08,2018
-0.14,4.15,8.62,0.56,2018-10-09,2018
-3.68,3.48,9.64,1.07,2018-10-10,2018
-6.21,5.96,0.25,1.45,2018-10-11,2018
-0.67,15.71,0.51,2.84,2018-10-12,2018
-2.01,18.38,1.52,3.4,2018-10-13,2018
-7.45,-0.1,0.25,0.76,2018-10-14,2018
-11.17,9.73,0.0,2.43,2018-10-15,2018
-2.01,18.14,0.0,3.3,2018-10-16,2018
-2.58,19.39,0.0,3.56,2018-10-17,2018
1.53,18.67,0.0,3.04,2018-10-18,2018
-0.1,20.15,0.0,3.49,2018-10-19,2018
-2.96,20.2,0.0,3.69,2018-10-20,2018
-3.87,26.62,0.0,5.15,2018-10-21,2018
0.86,20.72,0.0,3.44,2018-10-22,2018
0.81,19.34,0.0,3.13,2018-10-23,2018
4.86,12.6,7.63,1.26,2018-10-24,2018
4.15,17.43,0.0,2.37,2018-10-25,2018
2.05,20.53,0.0,3.21,2018-10-26,2018
0.91,27.48,0.0,4.79,2018-10-27,2018
-0.72,19.82,0.0,3.29,2018-10-28,2018
0.24,27.56,0.0,4.8,2018-10-29,2018
2.91,11.55,0.0,1.48,2018-10-30,2018
-5.07,13.32,0.0,2.41,2018-10-31,2018
