MinTemp,MaxTemp,Precipitation,ReferenceET,Date,time_step_counter,season_counter,dap,Wr,z_gw,surface_storage,IrrDay,Infl,Runoff,DeepPerc,CR,GwIn,Es,EsPot,Tr,TrPot,growing_season,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot,depth,baseline
18.76,32.0,0.0,6.09,2016-08-02,92.0,0.0,93.0,604.6400000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04157939191936628,0.04157939191936628,6.194649597512838,6.194649597512838,1.0,0.22519542922368313,0.2226803953894604,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3561613514350672,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,14.704999999999998,1044.3500000000001,2.0663025259112877,0.9588257236290677,0.9588257236290677,2101.976684055585,2111.361744197507,0.15679497897991015,0.15798352550520048,3.3207768707683223,3.6897520786314693,3.3105092030043455,0.0,7
18.1,35.22,0.0,6.79,2016-08-03,93.0,0.0,94.0,602.33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03830839588334957,0.03830839588334957,5.690083548566247,5.690083548566247,1.0,0.2248123452648497,0.2226803953894604,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3371944062731797,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,16.380000000000003,1060.7300000000002,2.0821481108050226,0.9588257236290677,0.9588257236290677,2134.350404334943,2143.735464476865,0.16602940815191272,0.16728795404055527,3.570511123468245,3.9672345816313834,3.5592313040135966,0.0,7
16.26,27.69,0.0,5.29,2016-08-04,94.0,0.0,95.0,627.8000000000001,,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.04271165977798745,0.04271165977798745,6.324893284173549,6.324893284173549,1.0,0.4247979270797683,0.2226803953894604,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,16.05,1076.7800000000002,2.097953562482144,0.9588257236290677,0.9588257236290677,2166.6260313014996,2176.0110914434217,0.1752638373239153,0.1765923825759101,3.8260965301852012,4.251218366872446,3.8137605394577525,0.0,7
16.13,22.44,0.0,2.37,2016-08-05,95.0,0.0,96.0,626.27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033276094289477705,0.033276094289477705,4.912665178803491,4.912665178803491,1.0,0.3595941806524052,0.23842472908589385,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,13.975000000000001,1090.755,2.1137194171902736,0.9588257236290677,0.9588257236290677,2198.803564955255,2208.188625097177,0.18449826649591786,0.18589681111126494,4.087505709852629,4.541673010947366,4.074069734264334,0.0,7
16.13,20.41,0.0,1.27,2016-08-06,96.0,0.0,97.0,630.97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014908193471845398,0.014908193471845398,2.1226581135451705,2.1226581135451705,1.0,0.338218517582235,0.23842472908589385,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,11.285,1102.0400000000002,2.129446198329409,0.9588257236290677,0.9588257236290677,2229.836507927604,2239.2215680695263,0.19373269566792042,0.19520123964661976,4.35266850556758,4.836298339519534,4.338104305798571,0.0,7
16.92,21.58,0.0,1.95,2016-08-07,97.0,0.0,98.0,636.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007988778780271585,0.007988778780271585,1.0996971087634981,1.0996971087634981,1.0,0.3271416587067973,0.23842472908589385,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,10.27,1112.3100000000002,2.1451344168929904,0.9588257236290677,0.9588257236290677,2259.8392274176667,2269.224287559589,0.20296712483992296,0.20450566818197455,4.621499311868871,5.134999235409857,4.605779292628923,0.0,7
17.31,29.93,0.25,4.35,2016-08-08,98.0,0.0,99.0,638.38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01226623513506267,0.01226623513506267,1.7344518785835097,1.7344518785835095,1.0,0.30967447756961153,0.23842472908589385,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,11.25,1123.5600000000002,2.1607845718893373,0.9588257236290677,0.9588257236290677,2290.6582529776742,2300.0433131195964,0.21220155401192553,0.21381009671732937,4.897658626155052,5.441842917950058,4.880727653387162,0.0,7
18.37,35.88,0.0,7.11,2016-08-09,99.0,0.0,100.0,641.45,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.02736313991667826,0.02736313991667826,3.9904548842707097,3.9904548842707097,1.0,0.27199629732773767,0.23842472908589385,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,15.619999999999997,1139.18,2.17639715074454,0.9588257236290677,0.9588257236290677,2322.4434133802242,2331.8284735221464,0.2214359831839281,0.2231145252526842,5.181708596025521,5.757453995583912,5.163507306506547,0.0,7
17.11,36.14,0.0,7.13,2016-08-10,100.0,0.0,101.0,638.32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044724580415536196,0.044724580415536196,6.502200913954803,6.502200913954803,1.0,0.2221206735786416,0.22283109789128658,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3326405291883684,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,16.185000000000002,1155.365,2.1919726296877946,0.9588257236290677,0.9588257236290677,2354.130480469973,2363.515540611895,0.23067041235593067,0.232418953788039,5.471445433513647,6.079383815015164,5.4519310436259625,0.0,7
16.13,33.71,12.19,6.13,2016-08-11,101.0,0.0,102.0,638.62,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04485038795538299,0.04485038795538299,6.5003057973663685,6.5003057973663685,1.0,0.2216721696990878,0.22283109789128658,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3109728431971472,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,15.555,1170.92,2.207511474120121,0.9588257236290677,0.9588257236290677,2385.71945424692,2395.1045143888423,0.23990484152793323,0.24172338232339383,5.766841757552868,6.40760195283652,5.745971689672927,0.0,7
13.24,28.79,0.0,5.78,2016-08-12,102.0,0.0,103.0,648.62,,0.0,0.0,12.19,0.0,0.0,0.0,0.0,0.03856001096304316,0.03856001096304316,5.571267594230099,5.571267594230099,1.0,0.2935409239438117,0.22283109789128658,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3089504997649287,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,15.064999999999998,1185.9850000000001,2.2230141389673435,0.9588257236290677,0.9588257236290677,2417.210334711066,2426.595394852988,0.2491392706999358,0.25102781085874865,6.06787018707662,6.742077985640689,6.045602069574962,0.0,7
11.79,31.82,0.0,6.19,2016-08-13,103.0,0.0,104.0,650.1800000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036358379015724224,0.036358379015724224,5.236805626500663,5.236805626500663,1.0,0.2435225782488926,0.22283109789128658,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.3080460683115138,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,13.015,1199.0000000000002,2.2384810690181483,0.9588257236290677,0.9588257236290677,2448.6031218624107,2457.988182004333,0.25837369987193837,0.26033223939410355,6.374503341018344,7.082781490020382,6.350795008259589,0.0,7
11.07,31.16,0.0,6.56,2016-08-14,104.0,0.0,105.0,672.98,,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.03893743358258355,0.03893743358258355,5.59075031389886,5.59075031389886,1.0,0.4434739446538075,0.22283109789128658,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.30596332035160406,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,12.895,1211.8950000000002,2.2539126992480005,0.9588257236290677,0.9588257236290677,2479.897815700954,2489.2828758428764,0.26760812904394093,0.26963666792945834,6.686713838311473,7.429682042568303,6.661523330654329,0.0,7
10.16,35.43,0.0,7.59,2016-08-15,105.0,0.0,106.0,673.88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04126487306974928,0.04126487306974928,5.9063591520016105,5.9063591520016105,1.0,0.36897019448628326,0.23785860780809728,0.2115312684422288,0.22548683326059443,0.21422801218851786,0.21743015021601622,0.2286713267269333,0.30596332035160406,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,12.535,1224.4300000000003,2.269309455129638,0.9588257236290677,0.9588257236290677,2511.094416226696,2520.479476368618,0.2768425582159435,0.2789410964648132,7.004474297889446,7.782749219877162,6.9777598616867,0.0,7
