SMT-1,yield,irrigation,SMT-2,SMT-3,SMT-4,max_irrigation
62.835412539509626,1.027668487429622,0.0,93.0917848693639,76.45144446053482,25.445034184349947,0.0
17.815571157861598,8.516344773415108,50.0,2.11458001500322,27.205304404916543,75.30108136412946,50.0
30.884034135457107,10.723780676696647,100.0,26.95809604359728,49.291353289978424,2.1713658623674803,100.0
17.854274701394047,12.42679080011208,150.0,35.20751825556272,58.93795137142106,81.53245688949802,150.0
18.61392427778425,13.435320418412621,200.0,54.736654303577204,35.389408686119985,75.64455664814376,200.0
56.055664468775646,13.970091032128867,250.0,66.05620251578105,39.13036614161298,2.707004230221175,250.0
58.788842504899506,14.316779229418936,300.0,90.37817260871134,54.99242194406084,45.7856358935219,300.0
77.10787647454181,14.417920218753343,336.5318778628323,67.3235877281127,36.501721127519296,32.586989835970854,350.0
91.33286939897505,14.416153087151613,400.0,77.04797598100672,39.90402221857532,84.48790369388249,400.0
87.54967673602393,14.451491377565485,425.531652814685,62.519059101491045,33.17235989099556,53.8638220290464,450.0
