year,SMT-1,SMT-2,SMT-3,SMT-4,max_irrigation,mulch_pct,yield,irrigation
1984,4.607876230570607,96.73423600269784,44.11266470207919,3.4843966686150862,0,0,1.291803707891453,0.0
1984,31.965181021162294,28.171631539123453,16.360306411282735,22.131877457027095,50,0,3.720150204041195,50.0
1984,11.517300874750141,29.36126651218067,14.76209469222977,18.975830795772183,100,0,7.164272440926677,100.0
1984,19.71336502903117,23.75578191545875,46.94325258218501,28.235224547051363,150,0,8.500758134209162,150.0
1984,17.49089066739842,43.51495771333366,82.61494152296011,80.28445571717059,200,0,10.586158471495024,200.0
1984,49.64650512674295,47.77421994505502,77.77173625461515,31.481715891364786,250,0,11.644175079838394,250.0
1984,51.0567151142828,19.770295270150903,62.127305455106104,58.5606725431773,300,0,12.378895190373164,300.0
1984,51.05023771844514,85.16354415274239,67.39642154893377,1.2549677172005125,350,0,12.930954708106624,350.0
1984,63.52804940635818,33.77642628633589,33.48184500675582,29.470639447729774,400,0,13.38607080316913,400.0
1984,75.70230064074369,19.06093817052468,39.33552860081607,76.91179952379295,450,0,13.621005484411342,450.0
2009,89.87554129492287,55.210260119621466,13.927512473753811,88.99184652958172,0,0,12.653510111560461,0.0
2009,95.46978467477115,34.593823074694974,57.20317853748208,10.685989319628664,50,0,13.398855943249522,50.0
2009,75.59331820387372,33.867729886547195,54.63034629339436,73.4142371815959,100,0,13.636593319383461,100.0
2009,78.63020681764445,22.30895818353016,14.678742329038252,88.40226490080333,150,0,13.65350474323192,150.0
2009,88.71686629084272,51.561357195164575,37.112832468878004,83.02312842409957,200,0,13.653235751038105,200.0
2009,82.12951388073719,48.99748597052904,21.16530083672523,80.94960286669507,250,0,13.655974264084476,250.0
2009,80.7774252695338,30.20596009598132,45.06997185606536,86.04696711550959,300,0,13.65350474323192,300.0
2009,82.01876196164233,5.725677195059294,46.539700820059295,4.484758163151289,350,0,13.655974264084476,147.39802912465728
2009,88.88304641374715,71.977528131737,35.15682439439886,89.67128036787572,400,0,13.653235751038105,360.5021077797624
2009,78.7732020454979,23.258396647266878,16.958968951030684,33.82617959839671,450,0,13.65350474323192,138.2684253437501
2017,86.92982729190187,7.352175386198001,29.316526151869816,19.972486647304567,0,0,0.4488684283274773,0.0
2017,21.432602790990472,26.963412282295263,64.4726688922159,59.155065566033116,50,0,7.610422145136114,50.0
2017,29.186107053178013,11.452444877705915,77.66016988083197,64.82347752516226,100,0,9.895002259623215,100.0
2017,22.278104854990268,29.378426764644754,60.52873266784259,19.83283764451049,150,0,11.69558490303761,150.0
2017,14.74855696648828,33.63649411684416,96.67541628633275,79.44422187789164,200,0,12.9676957908402,200.0
2017,1.299802968278636,68.12222508417585,32.125662051494345,96.81336846158966,250,0,13.756319372039913,250.0
2017,70.05796507791392,71.88184188352855,32.085907153886716,68.23423342508472,300,0,14.024387273183386,300.0
2017,63.55478258290093,85.8042271456727,35.590690528298595,39.82149726596596,350,0,14.07155080668324,350.0
2017,92.94905506739352,73.57480352739883,34.66469737351291,47.66121761752263,400,0,14.123400116093343,400.0
2017,73.04087178988222,85.6323448505615,43.202377495599805,4.841187189734214,450,0,14.071285201615154,345.8611873131165
2018,85.15794258259223,30.68910684756433,60.36992455732598,54.58011751555611,0,0,10.774946006989687,0.0
2018,16.25123864545406,53.09760729994093,34.677115937673385,84.74403051133632,50,0,12.551120348330498,50.0
2018,26.351673661731578,28.635764661785867,74.92226286179314,79.16495675022625,100,0,13.562320342290105,100.0
2018,33.291813775131565,76.0537891772875,33.69582160587087,78.61263264779869,150,0,14.099003777925248,150.0
2018,64.05168965742656,11.788395108211565,57.22833526143101,59.015102321272074,200,0,14.330347781202988,200.0
2018,78.97244494394792,90.03818953000015,30.313222860604427,55.120279186817356,250,0,14.395196908652181,250.0
2018,78.38713718159552,76.87892961479966,36.54856279291912,57.5349589116833,300,0,14.429721536939319,300.0
2018,100.80358864580973,25.698914132054753,33.99905279216281,51.22160932836004,350,0,14.407736534946194,350.0
